hal_id,titre,auteurs,annee,type_doc,support,doi,url_hal,url_pdf,mots_cles,resume,score,axes,ia,requetes
hal-04977474,Modeling Energy Consumption in Deep Learning Architectures Using Power Laws,Mansour Zoubeirou a Mayaki; Victor Charpenay,2025,COMM,28th European Conference on Artificial Intelligence (ECAI-2025),10.3233/FAIA250900,https://hal.science/hal-04977474v2,https://hal.science/hal-04977474/document,"Scaling Laws, Green AI, Sustainable AI, Computational Cost, Energy Efficiency, Energy Consumption, Modeling Energy Consumption in Deep Learning Architectures Using Power Laws","Modern Deep Learning architectures such as LSTM, GRU, and Transformers achieve remarkable performance in various sequence processing tasks. Yet, their high computational cost and energy consumption have raised concerns about their environmental impact and the sustainability of Deep Learning. In this paper, we present an empirical study assessing the efficiency of training LSTM, GRU, and Transformer models on a GPU. By evaluating these models under various configurations, we characterize the relationship between energy consumption and pre-defined quantities such as hardware efficiency and the n",5,"acv, energie, methodo",True,"(""energy consumption"" OR ""consommation é | (training OR inference) AND (GPU OR TPU)"
hal-05085944,A Review of Artificial Intelligence Applications in Climate Change Mitigation,Sandiponi Tasha,2025,ART,International Journal of Environment and Climate Change,10.9734/ijecc/2025/v15i54864,https://hal.science/hal-05085944v1,,,"The World Meteorological Organisation defines climate as long-term weather patterns observed over decades or centuries, and these patterns have changed dramatically in recent years, mainly because of human activities like burning fossil fuels and cutting down forests. Artificial Intelligence (AI) has emerged as a transformative technology capable of addressing climate-related challenges across various sectors. This review explored the intersection of AI and climate change mitigation, highlighting how AI technologies such as machine learning, deep learning, natural language processing, and remo",5,"carbone, energie, methodo",True,"(""energy consumption"" OR ""consommation é"
hal-05455207,GNN-Based Multi-Agent DRL for Energy-Efficient Multi-Domain 6G Resource Orchestration,Abdelmounaim Bouroudi; Abdelkader Outtagarts; Yassine Hadjadj-Aoul,2025,COMM,GLOBECOM 2025 - Annual IEEE Global Communications Conference,,https://inria.hal.science/hal-05455207v1,https://inria.hal.science/hal-05455207/document,"Sustainability, Multi-Domain Orchestration, AI/ML, DRL, GNN, NF Placement, Energy Efficiency, 6G networks","The rapid evolution towards 6G networks introduces new challenges in orchestrating services across distributed domains while ensuring sustainability goals, such as energy efficiency. Traditional scaling strategies focus on the number of network function instances without optimizing their placement based on energy consumption or resource usage. Addressing this gap, we propose a distributed and energy-efficient placement framework for scaled Network Function (NF) instances across multi-domain 6G infrastructures. Building upon a refined energy consumption model that accounts for computational and",5,"carbone, energie, methodo",True,"(""energy consumption"" OR ""consommation é"
dumas-05474387,Apport du Retrieval-Augmented Generation (RAG) dans l'optimisation des process de rédaction d'étude d'impact environnemental,Adrien Henry,2025,MEM,,,https://dumas.ccsd.cnrs.fr/dumas-05474387v1,https://dumas.ccsd.cnrs.fr/dumas-05474387/document,"Environmental Impact Assessments, Artificial Intelligence, RAG, Mistral, Automation, Mistral, Automatisation, RAG, Intelligence Artificielle, Études d’Impact Environnemental","Le développement d’une application d’assistance à la rédaction des Études d’Impact Environnemental (EIE) basée sur l’approche Retrieval-Augmented Generation (RAG) a permis de combiner la vectorisation de rapports d’EIE avec l’utilisation de modèles Mistral intégrés dans une interface intuitive. Les expérimentations réalisées sur l’analyse topographique montrent que l’activation du RAG apporte des résultats plus précis, mieux structurés et dotés d’un vocabulaire technique adapté, se rapprochant des pratiques d’expertise. Ce travail met en évidence le potentiel de l’intelligence artificielle pou",5,"acv, carbone, methodo",True,"(""empreinte carbone"" OR ""impact environn"
dumas-05056573,Comment les nouvelles technologies peuvent améliorer la prise en charge du cancer du sein ?,Romain Boghossian,2025,MEM,,,https://dumas.ccsd.cnrs.fr/dumas-05056573v1,https://dumas.ccsd.cnrs.fr/dumas-05056573/document,"Breast Cancer, Cancer du sein -- Thérapeutique","Le cancer du sein constitue aujourd’hui l’une des principales priorités de santé publique à l’échelle mondiale. Bien que les progrès en matière de dépistage, de diagnostic et de traitements aient permis d’améliorer significativement la survie, de nombreux défis subsistent, notamment en termes de personnalisation des soins, d’accessibilité aux innovations et de qualité du suivi post-thérapeutique. Cette thèse s’intéresse à l’apport des nouvelles technologies – intelligence artificielle, nouvelles molécules, dispositifs connectés, protocoles thérapeutiques innovants – dans la transformation de l",5,"acv, carbone, methodo",True,"(""empreinte carbone"" OR ""impact environn"
halshs-05132057,Tensions et opportunités dans la projection professionnelle des étudiants formés aux métiers du numérique :,Chrysta Pélissier; Cécile Vassaux,2025,COMM,Les Humanités numériques : engagement et apprentissages à l'université,,https://shs.hal.science/halshs-05132057v1,,Projection  métiers  conscientisation  carte de vie  carrière,"Contexte L'enseignement supérieur fait face à des bouleversements profonds, catalysés par l'essor de l'Intelligence Artificielle (IA) et l'urgence de la transition écologique. Ces transformations induisent une accélération des cycles d'innovation, une complexité accrue des systèmes technologiques, et une imprévisibilité des trajectoires professionnelles (Rosa et Chaumont, 2017). Dans ce contexte, les formations universitaires, notamment dans les métiers du numérique, peinent à concilier l'actualisation rapide des compétences et les attentes mouvantes du marché du travail (Lee et al., 2024). Ce",5,"acv, carbone, eau",True,"(""empreinte carbone"" OR ""impact environn"
tel-05682098,"Integrated Optimisation Informed by Predictive Models in a Sustainable, Carbon-Conscious Supply Chain with Reverse Logistics Optimisation intégrée informée par des modèles prédictifs dans une chaîne d'approvisionnement durable et consciente du carbone avec logistique inverse.",Basma Abassi,2025,THESE,,,https://theses.hal.science/tel-05682098v1,https://theses.hal.science/tel-05682098/document,"Reverse Logistics, Predictive Models, Carbon Footprint, Sustainable Supply Chain, Integrated Optimisation, Empreinte carbone, Modèles prédictifs, Logistique inverse, Chaîne d'approvisionnement durable, Optimisation intégrée","This dissertation examines the integrated optimisation of procurement, production, remanufacturing, maintenance, and transportation. The study is set within reverse logistics-based, carbon-conscious, sustainable supply chains. Chapter 1 introduces the fundamental concepts and latest developments in modern supply chains. It addresses procurement strategies, inventory control, transportation, optimisation strategies, manufacturing-remanufacturing flows, reverse logistics, and planning techniques. The discussion emphasises sustainability and maintenance as essential components of integrated suppl",5,"acv, carbone, methodo",True,"(""empreinte carbone"" OR ""impact environn"
hal-05312911,Classification des mécanismes d'usure lors du formage d'aluminium à haute température par apprentissage automatique et profond,Philippe Moreau; Panuwat Soranansri; Lucas Morin; Donatien Claeyssens-Beaupere; Franck Massa; Fabien Béchet; Ahmed Snoun; Thierry Delot,2025,COMM,26e Congrès Français de Mécanique,,https://hal.science/hal-05312911v1,https://hal.science/hal-05312911/document,"Alliage d’Aluminium, Haute Temperature, Revêtement DLC, Machine Learning, Convolutional Neural Network","La fabrication écoresponsable privilégie le formage sans lubrifiant afin de réduire les coûts et minimiser l'impact environnemental. Dans le cas du formage à haute température des alliages d'aluminium, cette approche qui se traduit par un contact direct entre la pièce et les outils, entraîne un transfert de matière et des défauts de surface. Bien que les revêtements en carbone amorphe, tels que le DLC, atténuent ces problèmes, ils restent vulnérables à l'usure mécanique et à la dégradation thermique à haute température. La définition des différentes classes de défauts de surface repose classiq",5,"acv, carbone, methodo",True,"(""empreinte carbone"" OR ""impact environn"
hal-05162122,Evaluating Cost-Benefit Implications of Ai-Driven Predictive Analytics for Environmental Compliance and Sustainability in Oil and Gas Refinery Operations,Charles Bom; Juliet Ngozi Chijioke-Churuba; Jeremiah Matthews,2025,ART,Current Journal of Applied Science and Technology,,https://hal.science/hal-05162122v1,,,"The oil and gas sector is coming under more pressure for sustainability, environmental compliance, and cost optimization. With increasing economic and regulatory pressures, refineries must find ways to address economic and environmental changes head-on. One application of AI technology that could help make refinery operations more efficient and less costly while also helping them comply with environmental regulations is the use of predictive analytics. The present study seeks to assess the cost-benefit impact of AI on oil refinery operations, particularly as it pertains to cost optimization an",5,"acv, carbone, energie",True,"(""water footprint"" OR ""water consumption"
hal-05447347,The unsuitability of existing regulations to reach sustainable AI,Thomas Le Goff,2025,COMM,Pre-COP Side Event “From Knowledge to Action: Strategic Dialogue towards COP30”,,https://hal.science/hal-05447347v1,https://hal.science/hal-05447347/document,"Law, Environmental governance, Environment, Sustainability, Artificial intelligence","This paper examines the European Union’s emerging regulatory landscape - focusing on the AI Act, corporate sustainability reporting and due diligence regimes (CSRD and CSDDD), and data center regulation - to assess whether it can effectively govern AI’s environmental footprint. We argue that, despite incremental progress, current approaches remain ill-suited to correcting the market failures underpinning AI-related energy use, water consumption, and material demand. Key shortcomings include narrow disclosure requirements, excessive reliance on voluntary standards, weak enforcement mechanisms, ",5,"acv, eau, energie",True,"(""green AI"" OR ""sustainable AI"" OR ""frug | (""water footprint"" OR ""water consumption"
